kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
います,います,imasu,"exist ,be(animate)","[""be"",""stay"",""live""]","[""exist"",""live"",""stay""]",verb,1,"[""verb"",""existence"",""living""]"
あります,あります,arimasu,"exist,be (inanimate)","[""there is"",""located"",""available""]","[""exist"",""be"",""available""]",verb,1,"[""verb"",""existence"",""object""]"
色々,いろいろ,iroiro,various,"[""many kinds"",""different""]","[""various"",""diverse"",""different""]",na-adjective,2,"[""adjective"",""variety""]"
男の人,おとこのひと,otokonohito,man,"[""male person"",""adult male""]","[""man"",""male"",""gentleman""]",noun,1,"[""people"",""male""]"
女の人,おんなのひと,onnanohito,woman,"[""female person"",""adult female""]","[""woman"",""lady"",""female""]",noun,1,"[""people"",""female""]"
男の子,おとこのこ,otokonoko,boy,"[""male child""]","[""boy"",""lad""]",noun,1,"[""child"",""male""]"
女の子,おんなのこ,onnanoko,girl,"[""female child""]","[""girl"",""young lady""]",noun,1,"[""child"",""female""]"
犬,いぬ,inu,dog,"[""puppy"",""canine""]","[""dog"",""canine""]",noun,1,"[""animal"",""pet""]"
猫,ねこ,neko,cat,"[""feline"",""kitten""]","[""cat"",""feline""]",noun,1,"[""animal"",""pet""]"
木,き,ki,tree,"[""wood"",""timber""]","[""tree"",""wood""]",noun,1,"[""nature"",""plant""]"
物,もの,mono,thing,"[""object"",""item""]","[""thing"",""object"",""item""]",noun,1,"[""general"",""object""]"
フィルム,フィルム,firumu,film,"[""movie film"",""camera film""]","[""film"",""movie reel""]",noun,2,"[""media"",""camera""]"
電池,でんち,denchi,battery,"[""cell"",""power source""]","[""battery"",""cell""]",noun,2,"[""electronics"",""power""]"
箱,はこ,hako,box,"[""container"",""case""]","[""box"",""container"",""case""]",noun,1,"[""object"",""storage""]"
スイッチ,スイッチ,suicchi,switch,"[""button"",""toggle""]","[""switch"",""toggle""]",noun,2,"[""electronics"",""device""]"
冷蔵庫,れいぞうこ,reizouko,refrigerator,"[""fridge""]","[""refrigerator"",""fridge""]",noun,2,"[""appliance"",""kitchen""]"
テーブル,テーブル,teeburu,table,"[""desk"",""stand""]","[""table"",""desk""]",noun,1,"[""furniture"",""home""]"
ベッド,ベッド,beddo,bed,"[""cot"",""bedding""]","[""bed"",""cot""]",noun,1,"[""furniture"",""home""]"
棚,たな,tana,shelf,"[""rack""]","[""shelf"",""rack""]",noun,2,"[""furniture"",""storage""]"
ドア,ドア,doa,door,"[""gate"",""entrance""]","[""door"",""entrance""]",noun,1,"[""house"",""building""]"
窓,まど,mado,window,"[""opening""]","[""window"",""pane""]",noun,1,"[""house"",""building""]"
ポスト,ポスト,posuto,"mailbox,postbox","[""postbox""]","[""mailbox"",""postbox""]",noun,2,"[""mail"",""object""]"
ビル,ビル,biru,building,"[""office building""]","[""building"",""block""]",noun,1,"[""place"",""city""]"
公園,こうえん,kouen,park,"[""garden"",""public park""]","[""park"",""garden""]",noun,1,"[""place"",""nature""]"
喫茶店,きっさてん,kissaten,coffee shop,"[""cafe""]","[""coffee shop"",""cafe""]",noun,3,"[""food"",""shop""]"
