kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
答えます,こたえます,kotaemasu,answer,"[""answer"",""answer a question""]","[""返答する""]",verb_group_2,1,"[""action"",""communication""]"
倒れます,たおれます,taoremasu,fall down,"[""fall down"",""a building falls down"",""a building""]","[""転倒する""]",verb_group_2,2,"[""action"",""intransitive""]"
焼けます,やけます,yakemasu,burn down,"[""burn down"",""be baked"",""be roasted"",""be grilled""]","[""燃焼する""]",verb_group_2,2,"[""description"",""intransitive""]"
通ります,とおります,toorimasu,pass,"[""pass"",""pass along a street""]","[""通過する""]",verb_group_1,2,"[""movement""]"
死にます,しにます,shinimasu,die,"[""die""]","[""亡くなる""]",verb_group_1,1,"[""""abstract"",""intransitive"" ]"
びっくりします,びっくりします,bikkurishimasu,be surprised,"[""be surprised""]","[""驚く""]",verb_group_3,1,"[""emotion"",""action""]"
がっかりします,がっかりします,gakkarishimasu,be disappointed,"[""be disappointed""]","[""失望する""]",verb_group_3,2,"[""emotion"",""action""]"
安心します,あんしんします,anshinshimasu,be relieved,"[""be relieved""]","[""ホッとする""]",verb_group_3,1,"[""emotion"",""action""]"
遅刻します,ちこくします,chikokushimasu,be late,"[""be late"",""come late""]","[""遅れる""]",verb_group_3,2,"[""time"",""action""]"
早退します,そうたいします,soutaishimasu,leave early,"[""leave early"",""leave work early"",""leave earlier than usual""]","[""早退""]",verb_group_3,2,"[""time"",""action""]"
けんかします,けんかします,kenkashimasu,quarrel,"[""quarrel"",""fight""]","[""争う""]",verb_group_3,1,"[""action"",""communication""]"
離婚します,りこんします,rikonshimasu,divorce,"[""divorce""]","[""離縁する""]",verb_group_3,2,"[""family"",""action""]"
複雑［な］,ふくざつ,fukuzatsu,complicated,"[""complicated"",""complex""]","[""難解""]",na_adjective,2,"[""description""]"
邪魔［な］,じゃま,jama,obstructive,"[""obstructive"",""in the way""]","[""妨げ""]",na_adjective,2,"[""description""]"
汚い,きたない,kitanai,dirty,"[""dirty""]","[""不潔""]",i_adjective,1,"[""description""]"
うれしい,うれしい,ureshii,glad,"[""glad"",""happy""]","[""喜び""]",i_adjective,1,"[""emotion""]"
悲しい,かなしい,kanashii,sad,"[""sad""]","[""憂鬱""]",i_adjective,1,"[""emotion""]"
恥ずかしい,はずかしい,hazukashii,embarrassed,"[""embarrassed"",""ashamed""]","[""照れる""]",i_adjective,2,"[""emotion""]"
地震,じしん,jishin,earthquake,"[""earthquake""]","[""震災""]",noun,2,"[""nature"",""disaster""]"
台風,たいふう,taifuu,typhoon,"[""typhoon""]","[""烈風""]",noun,1,"[""nature"",""weather""]"
火事,かじ,kaji,fire,"[""fire""]","[""火災""]",noun,1,"[""nature"",""disaster""]"
事故,じこ,jiko,accident,"[""accident""]","[""災難""]",noun,1,"[""disaster""]"
［お］見合い,おみあい,omiai,interview,"[""interview with a view to marriage""]","[""お見合い結婚""]",noun,2,"[""culture"",""family""]"
電話代,でんわだい,denwadai,telephone charge,"[""telephone charge"",""phone bill""]","[""通信費""]",noun,1,"[""money"",""communication""]"
～代,～だい,~dai,charge,"[""charge"",""fare"",""fee""]","[""～費"",""～料金""]",suffix,2,"[""money""]"
フロント,ふろんと,furonto,front desk,"[""front desk"",""reception desk""]","[""受付""]",noun,1,"[""place"",""travel""]"
－号室,－ごうしつ,-goushitsu,room number,"[""room number -""]","[""－号""]",suffix,1,"[""housing"",""travel""]"
汗,あせ,ase,perspiration,"[""perspiration"",""sweat""]","[""発汗""]",noun,2,"[""body""]"
タオル,たおる,taoru,towel,"[""towel""]","[""手拭い""]",noun,1,"[""objects"",""daily_life""]"
せっけん,せっけん,sekken,soap,"[""soap""]","[""石鹸""]",noun,1,"[""objects"",""daily_life""]"
大勢,おおぜい,oozei,great number,"[""a great number of people"",""crowd""]","[""沢山""]",noun,2,"[""quantity"",""people""]"
お疲れさまでした。,おつかれさまでした,otsukaresama deshita,Thank you for your hard work,"[""Thank you for your hard work"",""Good job""]","[""ご苦労様""]",phrase,1,"[""expression"",""business""]"
伺います。,うかがいます,ukagaimasu,I'm coming,"[""I'm coming"",""humble equivalent of ikimasu""]","[""参ります""]",verb_group_1,3,"[""action"",""keigo""]"
途中で,とちゅうで,tochuu de,on the way,"[""on the way"",""in the midst of""]","[""道すがら""]",conjunction,2,"[""location"",""time""]"
トラック,とらっく,torakku,truck,"[""truck"",""lorry""]","[""貨物自動車""]",noun,1,"[""transport""]"
ぶつかります,ぶつかります,butsukarimasu,bump,"[""bump"",""collide""]","[""衝突する""]",verb_group_1,2,"[""action"",""intransitive""]"
並びます,ならびます,narabimasu,stand in a queue,"[""stand in a queue"",""line up""]","[""列を作る""]",verb_group_1,2,"[""action"",""intransitive""]"
大人,おとな,otona,adult,"[""adult""]","[""成人""]",noun,1,"[""people""]"
洋服,ようふく,youfuku,Western clothes,"[""Western clothes""]","[""衣服""]",noun,1,"[""clothing""]"
西洋化します,せいようかします,seiyoukashimasu,be Westernized,"[""be Westernized""]","[""近代化する""]",verb_group_3,3,"[""abstract"",""action""]"
合います,あいます,aimasu,fit,"[""fit"",""suit""]","[""適合する""]",verb_group_1,2,"[""description"",""intransitive""]"
今では,いまでは,ima de wa,now,"[""now"",""nowadays""]","[""現在では""]",adverb,1,"[""time""]"
